name,tel,addr,addr2,Latitude,Longitude,menu,price,thumb,rating,count,가성비좋은,분위기좋은,감성카페,고급스러운,조용한,깔끔한,디저트,인테리어,사진찍기좋은,이색적인,뷰가좋은,예쁜,동네핫플
메가MGC커피 숙대입구역점,02-715-2019,갈월동 90-15,갈월동,37.543022,126.9722055,['아메리카노'],[1500],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200506_161%2F1588755450251m4qbo_JPEG%2FMnudV3Y2VHC0FwCWKlI8aZgR.jpg,2.13,1,1,0,1,0,0,0,0,1,0,0,0,0,0
바나프레소 숙대입구역점,070-8998-8966,갈월동 92,갈월동,37.5425101,126.9720937,"['아메리카노', '시그니처 아메리카노', '바나리카노']","[2500, 2500, 4000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_84%2F166234574812469xIb_PNG%2F22_%25BD%25BA%25C6%25E4%25BC%25C8%25B7%25CE%25B0%25ED_%25B9%25D9%25B3%25AA%25C7%25C1%25B7%25B9%25BC%25D2_%25C4%25BF%25C7%25C7-9%25BF%25F9%25281280x1280%2529.png,4.36,1,1,0,1,0,0,1,1,1,0,0,1,0,0
빽다방 숙대입구역점,02-712-0094,갈월동 90-10,갈월동,37.5430867,126.9721877,"['아이스 원조커피', '크리미슈', '네모머핀']","[2500, 2000, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220705_298%2F1656983613070ewQTC_JPEG%2Fimage.jpg,2.62,1,0,1,1,1,0,1,1,1,1,0,1,0,0
스타벅스 남영동점,1522-3232,갈월동 90-8,갈월동,37.5428313,126.9722421,"['블랙 글레이즈드 라떼', '그린 애플 캐모마일 티', '보늬밤 몽블랑 롤']","[6300, 6100, 6700]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,4.44,1,0,0,0,1,0,0,0,1,1,0,1,0,0
스타벅스 숙대입구역점,1522-3232,갈월동 69-5,갈월동,37.5442008,126.9719246,"['블랙 글레이즈드 라떼', '그린 애플 캐모마일 티', '보늬밤 몽블랑 롤']","[6300, 6100, 6700]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,4.47,1,0,0,1,0,0,1,0,1,1,0,0,1,1
오브너리,02-6953-6593,갈월동 101-49,갈월동,37.5415342,126.97239,"['소금초코휘낭시에', '흑임자휘낭시에', '무화과크림치즈휘낭시에']","[2700, 2700, 2900]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220307_259%2F1646649184412zKG8R_JPEG%2F3D2EA0A3-FE5B-4713-81CE-7237F56F24AE.jpeg,2.42,1,0,1,1,1,0,0,0,1,0,0,0,1,0
오페라빈 에스프레소바 숙대입구점,070-8677-7935,갈월동 93-37,갈월동,37.5420055,126.9715722,"['소프트 아이스크림', '콘 파냐', '카페 쇼콜라']","[3500, 2500, 3200]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220528_159%2F1653727586173eJlFm_JPEG%2F0.jpg,2.76,1,0,1,0,1,0,0,0,0,0,0,1,0,0
이디야커피 숙대입구역점,02-711-5498,갈월동 87,갈월동,37.5440208,126.9719508,"['HOT 애플 루이보스티', 'HOT 제주 호지차라떼', '쌍쌍 츄로스 세트']","[4500, 3900, 10600]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,4.28,1,1,1,1,0,1,1,0,0,0,0,0,0,1
인마이메모리,0507-1342-4009,갈월동 86-2,갈월동,37.5444146,126.9714294,"['Hand -Drip Specialty', 'Signature 더치라떼', '아메리카노']","[5000, 6000, 5000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA5MDFfMjg0%2FMDAxNjYxOTYyMDc0ODc2.L0unVqii8V4DHXokuAVOousY-gmPUtbeKnh9NF7ED-gg.dNfenY92yrJeDgSwcJ9uEvNaLHpJC5kfLZrs4YiAVhcg.JPEG.sc10709%2FIMG_5475.,2.58,1,0,1,1,1,0,1,1,1,1,1,1,0,0
카페여행박사,070-7017-5600,갈월동 69-109,갈월동,37.5462131,126.9715416,"['아메리카노', '카페라떼', '카페모카']","[3500, 4500, 5000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191205_182%2F1575556804346c5Nmg_JPEG%2FMmjSJ_ibk-NM0KngCdp_jE-w.jpg,4.74,1,0,1,1,1,1,0,1,1,0,0,0,1,1
커피베이 남영역점,02-790-0988,갈월동 101-49,갈월동,37.5415342,126.97239,"['아메리카노', '피치플럼 빙수', '마늘바게트']","[2700, 10800, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181003_256%2F1538557963834BsK7E_JPEG%2F9Un9SPtrXKRlyFyssjhBgaBB.jpg,4.18,1,1,1,0,1,1,0,0,0,1,0,1,1,1
크리스피크림도넛 남영역점,02-749-1937,갈월동 98-5,갈월동,37.541646,126.9717729,"['오리지널 더즌', '어쏘티드 더즌', '자주빛 가을이구마']","[15000, 17000, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220826_115%2F166149031744176Q6B_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25B4%25EB%25C7%25A5%25C0%25CC%25B9%25CC%25C1%25F6_1_%25B4%25EB%25C1%25F6_1_%25B4%25EB%25C1%25F6_1.jpg,4.4,1,0,1,0,1,1,0,0,1,0,1,1,0,0
파리바게뜨 남영역점,02-797-9743,갈월동 98-31 1층파리바게뜨,갈월동,37.5415959,126.9715122,"['아이스 아메리카노', '보랏빛 건강 가득 블루베리듬뿍롤케익', '카페모카롤']","[3700, 13000, 13000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210602_151%2F1622602117599COkhx_JPEG%2FYVNx9pGjos4OJn3GnpSEeSft.jpg,4.36,1,0,0,1,0,1,0,0,0,0,0,1,1,1
파리바게뜨 숙대갈월점,0507-1445-9041,갈월동 53-2,갈월동,37.5455846,126.9744845,"['아이스 아메리카노', '대추호두파운드', '대추호두마들렌']","[3700, 17000, 15000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210830_116%2F1630308496177AJlHB_JPEG%2FWfZHrrgOzr_qUiGE8dcXwv0O.jpg,4.65,1,1,1,0,1,0,1,0,1,1,0,0,1,1
행운보다행복,0507-1427-2210,갈월동 53-21,갈월동,37.5456222,126.9738435,"['비체린 ONLY HOT', '티라미수 라떼 ONLY ICE', '블루베리 요거트 스무디']","[6000, 6000, 6000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210403_12%2F1617427780164POcIw_JPEG%2F7pLkfsdVhcZMo7RJSwDa7yIi.jpg,4.72,1,0,1,0,0,1,0,0,0,1,0,1,1,1
헤브어트리,0507-1386-3499,갈월동 59-8,갈월동,37.5453139,126.9727874,"['티에이드', '고성라떼', '블루베리 레어 치즈타르트']","[6500, 6000, 7000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220508_159%2F1652004562347V4yB1_JPEG%2F62753239-38BD-4AC6-9D3D-B7B736D01343.jpeg,4.6,1,0,0,0,0,0,0,1,0,1,1,1,1,0
Bumpy,0507-1371-2267,남영동 56-1,남영동,37.5430744,126.9735729,"['마카롱', '쿠키슈']","[2500, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211021_101%2F1634781675676HWO1h_JPEG%2FU1JHyj1V_MC9ATAd0yAIZJes.jpeg.jpg,4.75,1,1,1,1,0,1,1,1,0,1,0,1,0,1
MUJABEE,010-7736-1267,남영동 40-3,남영동,37.5444289,126.9731854,"['아메리카노\n주문수 5', '카페라떼', '플랫화이트']","[4500, 5000, 5000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200116_47%2F1579152811982WWcNX_JPEG%2F20200116_143256.jpg,4.48,1,1,0,1,1,1,1,1,0,1,0,1,0,0
고라니커피클럽,02-790-2179,남영동 89-8,남영동,37.5416249,126.973182,['아메리카노'],[4500],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220330_133%2F1648616262499EWOUs_JPEG%2F0836784E-A9AC-4298-ADB3-14192B9AE93F.jpeg,2.2,1,0,0,0,1,1,1,0,0,1,0,1,1,1
골드버튼커피,02-796-1478,남영동 81-3,남영동,37.5426195,126.9731639,"['니트로 클라우드', '아메리카노', '카페라떼']","[5500, 3800, 4300]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160805_193%2F1470384786006sfHdl_JPEG%2F176755574325_0.,4.37,1,1,1,0,0,1,1,0,0,0,0,0,0,0
남영출판사,0507-1478-2783,남영동 92-2,남영동,37.5420969,126.9735852,"['Espresso x 1 shot', '레몬슈가에스프레소', '리틀콘파냐']","[1800, 2300, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_7%2F1649838945535J6fPa_JPEG%2FKakaoTalk_20220411_143511183_13.jpg,2.71,1,0,1,1,1,1,1,0,0,0,0,0,0,0
뉴블커피,0507-1308-4329,남영동 99-1,남영동,37.54204,126.9738723,"['아메리카노', '카페라떼', '카푸치노']","[3000, 3500, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220303_220%2F1646282859302iUUkr_JPEG%2FIMG_20220302_144117_141.jpg,4.52,1,1,0,1,0,1,1,0,0,0,0,1,0,0
데이원커피바,02-749-4688,남영동 98-5,남영동,37.542228,126.9737384,"['바닐라빈 라떼', '솔티드 캬라멜 라떼', '아메리카노']","[4300, 4300, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180920_204%2F1537429566415U8Phd_JPEG%2Fk1teIWHp_f7iMq_87_54GAWE.jpg,2.12,1,1,0,0,1,1,1,0,1,0,1,1,1,1
데일리루틴,02-795-9998,남영동 28-3,남영동,37.5438767,126.9728852,"['베리그라니따', '피치프로마쥬', '아메리카노']","[5000, 5500, 4000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220715_26%2F1657883137445g3aeR_JPEG%2FE02E3B67-4C3D-46CD-AE27-7CF4D55E535F.jpeg,4.91,1,1,0,1,0,1,1,0,0,1,1,1,1,0
때가이르매,070-4320-8495,남영동 8-2,남영동,37.5450476,126.9730378,"['아메리카노', '라떼', '바닐라라떼']","[5000, 6000, 6500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210213_263%2F16131445152617wpur_JPEG%2F5TKvxSMcCch5v84jw3uqd8_1.jpeg.jpg,2.41,1,1,0,0,0,0,0,1,0,1,0,1,0,0
라르고 커피,02-794-8855,남영동 89-1,남영동,37.5416286,126.9735045,"['아메리카노', '에스프레소', '라떼']","[3000, 3000, 3800]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160212_14%2F14552643105862g4QU_JPEG%2F176155566234751_0.jpeg,4.29,1,1,0,0,1,1,0,0,1,0,1,1,0,0
비글루,070-4409-0512,남영동 72-1,남영동,37.5429726,126.9728456,"['디저트', '커피']","[3500, 3000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200523_196%2F1590210580229mDwAf_JPEG%2FGK3DcL0iVv4O-7QavVpS7HWS.jpeg.jpg,4.91,1,1,1,0,1,0,1,0,1,0,0,0,1,0
빨라쪼델프레도 HQ점,02-709-7820,남영동 131-1,남영동,37.5406719,126.9736296,"['꼬빠 삐꼴라(1가지맛)(컵or콘)', '꼬빠 메디아(2가지맛)(컵or콘)', '꼬빠 그란데(3가지맛)']","[4500, 5500, 7500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220711_286%2F1657529624598Lv7H5_JPEG%2F%25BB%25A1%25B6%25F3%25C2%25C9%25B5%25A8%25C7%25C1%25B7%25B9%25B5%25B5_%25BF%25B5%25B9%25AE%25B7%25CE%25B0%25ED640.jpg,4.42,1,0,1,1,1,0,1,1,1,1,1,1,1,0
샤넌 서울,010-2643-3755,남영동 48-1,남영동,37.5432312,126.9737722,"['에스프레소', '퀵블랙', '아메리카노']","[4500, 4500, 5000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220331_90%2F1648716121418pVViz_JPEG%2FF2B170F0-5671-4473-9A99-A2342382E53B.jpeg,2.87,1,0,1,1,0,0,1,0,1,0,0,1,1,0
슬로,070-5138-1768,남영동 14-3,남영동,37.5446564,126.9729232,"['아메리카노', '오렌지주스', '버터크림라떼']","[3800, 6500, 4900]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_36%2F16560806954514nvT3_JPEG%2FKakaoTalk_20220621_195107410.jpg,2.07,1,0,1,0,0,1,0,0,1,1,1,0,1,0
앤,02-749-7197,남영동 35-1,남영동,37.5437934,126.9731523,"['마론 마끼아또', '아포가토', '아메리카노']","[4000, 4500, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_189%2F1441049339939R3uC0_JPEG%2FSUBMIT_1377246518666_33127316.jpg,4.25,1,1,1,0,1,1,0,1,1,0,0,0,1,1
엔와이84.8,02-790-9103,남영동 84-8,남영동,37.542169,126.9730671,"['토마토모짜렐라파니니', '리코타치즈샐러드', '리코타치즈샌드위치']","[8900, 11900, 8400]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_90%2F1441087992236DM2k9_JPEG%2F166456556763794_0.jpeg,4.52,1,0,0,0,1,0,1,1,0,1,1,0,0,0
온오프커피,0507-1362-9755,남영동 3-1,남영동,37.5450863,126.9733496,"['아메리카노', '카페라떼', '바닐라라떼']","[4000, 4500, 4800]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211030_222%2F1635578691959Guvhq_JPEG%2FhvZ8wvc_597ZrTsZbUlcziAH.jpeg.jpg,4.67,1,1,0,1,0,1,1,1,0,0,0,1,0,1
카페 아힌,0507-1313-8179,남영동 41-1,남영동,37.5444096,126.9734528,"['버터빠', '초코바나나크림치즈휘낭시에', '쏠티카라멜휘낭시에']","[3500, 3200, 3000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220316_103%2F16474184705503r06k_JPEG%2Fimage.jpg,4.71,1,0,0,1,0,1,1,1,0,1,1,0,1,0
투썸플레이스 숙대입구역점,02-749-5607,남영동 62-9,남영동,37.5432829,126.9727836,"['아메리카노', '롱블랙', '누가크림카페라떼']","[4100, 4100, 5800]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA0MTZfNTAg%2FMDAxNjUwMTA1ODg1MzIz.GJO8V7i0zM8A8naLXBdd7B1UXTN_sBVOabmwnjNPZJQg.Wg4bpGXACNIX5EONDdT53ReKj0ESDXtXUZXABLMXN-Mg.JPEG.lawlawlawlawlaw%2FIMG_7311.jpg,4.41,1,1,0,0,0,1,1,1,1,1,0,0,1,1
르뽀,0507-1391-5716,도원동 23,도원동,37.5382852,126.9552615,"['에그 타르트\n별점\n4.6', '아메리카노\n별점\n4.75', '호두 타르트']","[2500, 4000, 3500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_253%2F16311662138088RJpg_JPEG%2FHOqRNJ2jmEFvqdtEG_A2F8nx.jpg,4.78,1,1,1,1,1,1,1,0,1,0,0,0,0,0
빙달 마포점,02-717-3690,도원동 23,도원동,37.5382852,126.9552615,['베리베리굿 빙수'],[13000],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210706_208%2F16255558762118OEtz_JPEG%2Ftj4L9A_gRpXYM3XwwZkf7d7A.jpg,2.81,1,1,1,1,0,0,0,0,1,0,0,0,0,1
카페미우,02-813-0315,도원동 1-36,도원동,37.5391437,126.9584959,"['핸드드립 커피', '미우라떼']","[4000, 4000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181115_1%2F1542247882128k4L3h_JPEG%2F9cfp1FsRGjjPO2L89nyoV2Mv.jpeg.jpg,4.66,1,0,1,1,1,0,1,0,1,0,0,1,0,1
코티지로프,070-4795-1674,도원동 8-31,도원동,37.5392987,126.9577865,"['브라우니 쿠키', '무화과 요거트 스콘', '핸드드립']","[2000, 3300, 4500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211125_252%2F1637821991989kHWNR_JPEG%2F51F385A2-E528-492F-865B-D8E0AB494A58.jpeg,4.67,1,1,1,1,1,1,1,0,0,1,0,1,0,0
쿱,0507-1479-5990,도원동 3-5,도원동,37.5392592,126.95801,"['젤라또 컵 (2가지 맛)', '포장 3가지 맛(500cc)', '포장 4가지 맛(750cc)']","[4500, 16000, 20000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210528_182%2F1622185527166btcFM_JPEG%2Fpmb1KXc-YJr6VYqBn3RXwtJJ.jpeg.jpg,4.62,1,0,1,1,0,0,0,1,1,0,0,0,0,1
파리바게뜨 도원삼성,02-714-1711,도원동 23 삼성래미안 도원상가 2층,도원동,37.5382852,126.9552615,"['리얼딸기라떼', '한입에 두번 반한 단팥크림빵', '실키롤케익']","[3900, 1600, 11000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_265%2F1649840248747P6jqU_PNG%2Fimage.png,4.46,1,1,0,1,1,0,0,0,1,1,1,1,0,0
픽미픽미아이스 용산도원점,0507-1358-6558,도원동 23,도원동,37.5382852,126.9552615,"['바 종류', '콘 종류', '쭈쭈바 종류']","[400, 800, 500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200716_96%2F15948830175414vgKp_JPEG%2FVFu2o-Sv43BHQj2ZWruP-L3U.jpg,4.38,1,1,0,0,0,1,1,1,0,0,1,0,1,1
River North,0507-1306-1685,동빙고동 100,동빙고동,37.5214589,126.9966868,"['Vegan Chocolate Cake', 'Earl Grey Brownies', 'Vegan Gluten Free Chocolate Peanut Butter Bars']","[5000, 3500, 3000]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190305_261%2F1551763417550lB0nF_JPEG%2Fto2LJyur2ffpc6U2Ep8TZVPR.jpg,4.35,1,1,1,0,0,0,0,0,0,1,0,1,0,0
더베이크드 바이셰프리 동빙고점,0507-1367-9758,동빙고동 316,동빙고동,37.5243777,126.994505,"['앙버터', '아메리카노', '에스프레소']","[4200, 3000, 2900]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181025_30%2F154047497961965t4C_JPEG%2F5dSXG0Y5XclVK-m1G3esbfix.jpg,4.07,1,0,1,1,0,0,1,0,1,1,0,1,0,0
듀톤,0507-1357-7703,동빙고동 1-51,동빙고동,37.5261075,126.9961788,"['몽청이500ml', '오렌지 브루', '자몽밀크']","[19500, 4900, 6500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_147%2F1625708991113ITPap_JPEG%2FKakaoTalk_20210708_103704511.jpg,4.75,1,1,0,0,0,0,0,0,0,1,0,0,1,0
루치오앨리,070-8668-1173,동빙고동 106-1,동빙고동,37.5214725,126.9964898,"['루앨우유푸딩', '루앨커피', '콘파냐']","[4500, 6500, 4500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220310_212%2F16468807514630SBO9_JPEG%2F5E960E4D-08E2-4C20-B39A-E21BEBF9643E.jpeg,2.78,1,1,0,1,1,1,0,0,0,1,1,1,0,1
마마카롱 베이킹스튜디오,010-4029-4808,동빙고동 195,동빙고동,37.5217737,126.9954597,"['마카롱', '마카롱 5+1', '아메리카노(일리원두)']","[2500, 12500, 2500]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_299%2F1605194344637pk7Gn_JPEG%2F_D57umGec9vWPAFOJgHhKaoA.jpg,2.09,1,1,1,0,1,1,1,1,1,1,0,0,0,1
